"id","stage","spider","m"
"7063","Reversal","Spider A",0.580806132352423
"7063","Reversal","Spider B",0.160964669946799
"7121","Acquisition","Spider A",0.0524983813527687
"7121","Acquisition","Spider B",0.0987210877041866
"7121","Reversal","Spider A",0.0758303165174333
"7121","Reversal","Spider B",0.000667958120020684
"7154","Acquisition","Spider A",0.753946868707636
"7154","Acquisition","Spider B",0.697240857286654
"7154","Reversal","Spider A",0.591925208157153
"7154","Reversal","Spider B",1.17838308229339
"7169","Acquisition","Spider A",
"7169","Acquisition","Spider B",
"7169","Reversal","Spider A",
"7169","Reversal","Spider B",
"7271","Acquisition","Spider A",0.083707401793272
"7271","Acquisition","Spider B",0.0346563254822412
"7271","Reversal","Spider A",0.378647109629455
"7271","Reversal","Spider B",0.117984845692786
"7546","Acquisition","Spider A",0.332988300017358
"7546","Acquisition","Spider B",0.408634086137173
"7546","Reversal","Spider A",0.42207339250584
"7546","Reversal","Spider B",0.442883668118681
"7661","Acquisition","Spider A",0.207740268765084
"7661","Acquisition","Spider B",0.151240492518711
"7661","Reversal","Spider A",0.211301489119854
"7661","Reversal","Spider B",0.0152516077652833
"7714","Acquisition","Spider A",0.294760164374371
"7714","Acquisition","Spider B",0.470118406682008
"7714","Reversal","Spider A",0.471974721097461
"7714","Reversal","Spider B",0.117627395250468
"7791","Acquisition","Spider A",0.625938592471171
"7791","Acquisition","Spider B",0.597076378818133
"7791","Reversal","Spider A",0.461045071396637
"7791","Reversal","Spider B",0.674418199199459
"7908","Acquisition","Spider A",0.525811644705067
"7908","Acquisition","Spider B",0.616370453230087
"7908","Reversal","Spider A",0.521063675169166
"7908","Reversal","Spider B",0.369706989799982
"8021","Acquisition","Spider A",0.297873159902308
"8021","Acquisition","Spider B",0.269729471315139
"8021","Reversal","Spider A",0.340025363307015
"8021","Reversal","Spider B",0.0010803915802276
"8072","Acquisition","Spider A",0.132097040108734
"8072","Acquisition","Spider B",0.363774839051774
"8072","Reversal","Spider A",0.495158688728229
"8072","Reversal","Spider B",0.428873127432814
"8402","Acquisition","Spider A",0.577507170625142
"8402","Acquisition","Spider B",0.386971223659467
"8402","Reversal","Spider A",0.292083089341835
"8402","Reversal","Spider B",0.725581571257991
"8640","Acquisition","Spider A",0.127113170043037
"8640","Acquisition","Spider B",0.428625413129845
"8640","Reversal","Spider A",0.478391046442966
"8640","Reversal","Spider B",0.28166424165037
"8688","Acquisition","Spider A",0.816004445143965
"8688","Acquisition","Spider B",0.332243738380324
"8688","Reversal","Spider A",0.21744722588832
"8688","Reversal","Spider B",0.230366636832702
"8746","Acquisition","Spider A",0.237559983598903
"8746","Acquisition","Spider B",0.359711651105717
"8746","Reversal","Spider A",0.250932043324495
"8746","Reversal","Spider B",0.0654256357488767
"8910","Acquisition","Spider A",1.01327093944422
"8910","Acquisition","Spider B",0.486801296212697
"8910","Reversal","Spider A",0.438912710129989
"8910","Reversal","Spider B",0.935108907131803
"8961","Acquisition","Spider A",0.559104245241224
"8961","Acquisition","Spider B",0.895466396275806
"8961","Reversal","Spider A",0.704847919917792
"8961","Reversal","Spider B",0.619668269715947
"8977","Acquisition","Spider A",1.06809574664722
"8977","Acquisition","Spider B",0.238009637210232
"8977","Reversal","Spider A",0.491748482348716
"8977","Reversal","Spider B",1.17926742100077
"9076","Acquisition","Spider A",1.04900393724502
"9076","Acquisition","Spider B",0.185377137670005
"9076","Reversal","Spider A",0.382513080045286
"9076","Reversal","Spider B",1.25566333573951
"9090","Acquisition","Spider A",0.206947491240439
"9090","Acquisition","Spider B",0.348857807150545
"9090","Reversal","Spider A",0.164652725149185
"9090","Reversal","Spider B",0.030206928482598
"9175","Acquisition","Spider A",0.747521433543007
"9175","Acquisition","Spider B",0.35991627220064
"9175","Reversal","Spider A",0.764810329090748
"9175","Reversal","Spider B",0.917627135772856
"9178","Acquisition","Spider A",0.000883831251019124
"9178","Acquisition","Spider B",0.191914085890756
"9178","Reversal","Spider A",0.228801597196246
"9178","Reversal","Spider B",0.011358970309207
"9247","Acquisition","Spider A",0.38907542065698
"9247","Acquisition","Spider B",0.297802923206569
"9247","Reversal","Spider A",0.331419168512295
"9247","Reversal","Spider B",0.530980898595763
"9256","Acquisition","Spider A",0.263633695023303
"9256","Acquisition","Spider B",0.438405350310099
"9256","Reversal","Spider A",0.508111525468476
"9256","Reversal","Spider B",0.0852441364389593
"9282","Acquisition","Spider A",0.975743862147784
"9282","Acquisition","Spider B",0.378833320511352
"9282","Reversal","Spider A",0.293941864262845
"9282","Reversal","Spider B",0.489442583111441
"9525","Acquisition","Spider A",0.184224702775648
"9525","Acquisition","Spider B",0.290055650663343
"9525","Reversal","Spider A",0.317441589534624
"9525","Reversal","Spider B",0.106299395375989
"9651","Acquisition","Spider A",0.699470132563726
"9651","Acquisition","Spider B",0.314391259099448
"9651","Reversal","Spider A",0.297554520010834
"9651","Reversal","Spider B",0.845854890557254
"9697","Acquisition","Spider A",0.640951383762231
"9697","Acquisition","Spider B",0.645339926808613
"9697","Reversal","Spider A",0.422749233323176
"9697","Reversal","Spider B",0.286849731770471
"9814","Acquisition","Spider A",0.667843474442982
"9814","Acquisition","Spider B",0.355589917600618
"9814","Reversal","Spider A",0.365259000920848
"9814","Reversal","Spider B",0.6973441412318
"9917","Acquisition","Spider A",0.807764412791921
"9917","Acquisition","Spider B",0.367252961648549
"9917","Reversal","Spider A",0.302573902921192
"9917","Reversal","Spider B",0.669002092875607
