"id","trial","dcm1","dcm2","dcm3","dcm4"
949,12,0.61387,4.6491,3.0911,0.0012602
949,13,0.27925,1.2228,3.0933,0.7728
949,14,0.48568,0.013649,3.0934,0.93192
949,15,0.39675,0.1225,3.0923,0.78693
949,16,0.38771,0.010934,3.0926,0.82108
949,17,0.43554,0.01374,3.0937,0.85398
949,18,0.30583,1.3506,3.095,1.0352
949,19,0.18081,0.021003,1.4662,0.83799
949,20,0.47603,0.014098,3.0939,0.94886
949,21,0.39151,0.10029,3.0931,0.98426
949,22,0.30565,0.026456,3.0881,1.1502
949,23,0.41678,0.0088249,3.0897,0.6762
949,24,0.37156,0.035628,3.0925,0.95568
949,25,0.37272,0.22094,3.0946,0.89365
949,26,0.36575,0.26517,3.0938,0.81555
949,27,0.36464,0.76131,3.096,0.69035
949,28,0.34768,0.4682,3.0952,0.80084
949,29,0.36288,0.12915,3.0948,0.82591
949,30,0.44189,1.467,3.0958,0.42315
949,31,0.33525,0.39871,3.0948,0.76812
949,32,0.39576,3.6458,3.0925,0.0051763
1429,1,0.15087,4.8903,3.0826,0.0051852
1429,2,0.0001615,5.763,2.9456,3.6561
1429,3,1.3732,2.8676,1.2164,0.002621
1429,4,6.9383,5.2881,0.23371,0.04506
1429,5,0.18704,0.023524,2.1092,0.51864
1429,6,0.13602,0.023115,3.0751,1.9375
1429,7,0.18548,0.026845,3.0907,0.45838
1429,8,0.048333,5.935,3.0111,4.1712
1429,9,1.8146,0.0044006,0.35401,0.66328
1429,10,0.07974,1.2015,3.0704,0.65895
1429,11,6.4783,1.3938,0.16201,3.0308
1429,12,13.611,5.5611,0.10853,0.0068407
1429,13,0.045393,0.24552,2.9899,0.0062519
1429,14,0.00024328,5.5808,2.93,6.2
1429,15,1.6232,1.2009,0.28109,3.5516
1429,16,0.11947,0.69883,3.0812,0.38219
1429,17,0.18788,0.029485,3.0928,0.50879
1429,18,0.25032,5.9255,3.0895,2.2121
1429,19,0.24366,5.9408,3.0887,1.81
1429,20,0.19213,0.089936,3.0875,0.42911
1429,21,0.21797,0.033008,3.091,0.48751
1429,22,0.18047,0.021373,3.0812,1.1951
1429,23,0.21983,0.03023,3.0916,0.4752
1429,24,0.23406,0.5895,3.0941,0.36238
1429,25,0.14741,0.012917,3.0844,1.7518
1429,26,0.21914,0.26864,3.0926,0.46212
1429,27,0.19887,0.019857,3.0943,0.57109
1429,28,0.19568,0.96135,3.0952,0.39667
1429,29,0.20206,0.014589,3.0923,0.8829
1429,30,0.20785,0.012931,3.0933,0.42856
1429,31,0.14693,0.014465,3.0898,1.0595
1429,32,0.10259,0.46068,3.0321,2.1861
1447,1,0.0018634,5.9411,2.9592,0.97589
1447,2,0.48419,3.0455,3.0918,0.22628
1447,3,0.3596,5.9973,3.0904,1.0773
1447,4,0.12739,0.2477,3.0605,1.7423
1447,5,0.46745,5.9954,3.0949,0.0026943
1447,6,0.26739,0.17171,3.0877,0.92486
1447,7,0.22858,0.49675,3.0886,0.73181
1447,8,0.22504,0.79288,3.0943,2.1138
1447,9,0.21382,0.25651,3.0917,0.46344
1447,10,0.21005,0.03018,3.092,2.3423
1447,11,0.62177,0.49017,1.3778,0.51799
1447,12,0.3404,1.5861,3.084,1.1128
1447,13,0.24193,0.015533,3.0867,0.49937
1447,14,0.23069,0.033634,3.0923,0.8894
1447,15,0.11505,5.9933,3.0783,3.1149
1447,16,0.29592,2.2094,3.0611,0.0036457
1447,17,0.39486,5.9961,3.0801,0.98617
1447,18,1.6422,0.28765,0.28495,1.1501
1447,19,0.18496,2.7699,3.0914,1.3745
1447,20,0.14174,0.11476,3.0827,0.28121
1447,21,0.00062273,5.9418,2.9482,3.4619
1447,22,0.25535,0.054985,3.0804,0.6987
1447,23,0.18191,0.78474,3.0842,1.196
1447,24,0.17482,2.5243,2.3939,1.3748
1447,25,0.8869,5.9982,1.1446,0.0092949
1447,26,0.2152,0.10239,3.0892,0.6794
1447,27,0.26467,0.012568,3.0909,0.49636
1447,28,0.14129,1.1971,3.0892,2.7357
1447,29,0.14406,0.082714,3.0871,0.71192
1447,30,1.1903,5.999,1.3631,0.012251
1447,31,0.23834,4.9951,3.0945,0.0024773
1447,32,0.27085,3.2959,2.6264,1.1829
1491,1,0.84358,1.7677,2.0065,0.75941
1491,2,0.015592,5.9678,3.0664,0.14029
1491,3,1.76,0.60559,0.49379,1.2732
1491,4,0.22298,0.041076,3.0734,2.2635
1491,5,0.50748,0.016149,0.7004,0.95969
1491,6,0.43385,5.9972,3.0823,1.9377
1491,7,0.82716,0.020739,0.53238,0.66621
1491,8,0.40159,0.17461,2.5002,1.7889
1491,9,0.28183,5.4753,3.0891,0.003587
1491,10,0.41461,5.9415,3.0914,1.5958
1491,11,0.21359,0.051199,1.6076,1.2389
1491,12,0.14372,3.1798,2.2444,1.7514
1491,13,0.38317,1.3784,1.5142,0.097363
1491,14,0.48622,0.011121,1.4145,2.6276
1491,15,0.16756,0.79916,3.0817,1.4638
1491,16,0.28901,5.8033,3.0882,0.40416
1491,17,0.19357,0.032829,1.9607,0.75524
1491,18,1.2443,0.94598,0.6342,1.7448
1491,19,0.43371,0.010094,1.0269,0.61672
1491,20,0.094941,5.9615,2.9871,1.4062
1491,21,1.3941,5.9963,1.6177,0.022874
1491,22,0.25604,0.027466,0.95542,1.6534
1491,23,0.093691,0.18453,2.0226,0.94138
1491,24,0.6756,3.3185,1.6026,0.87586
1491,25,0.27813,2.6877,3.0901,0.013713
1491,26,0.22196,0.23297,3.0792,0.42685
1491,27,1.4702,0.0035494,0.64024,1.0386
1491,28,9.4137,5.1072,0.13307,0.0060524
1491,29,0.21169,3.9101,3.0887,0.7641
1491,30,0.13722,2.3757,3.0867,0.30475
1491,31,0.18645,0.022943,3.0798,0.87153
1491,32,0.088009,0.22496,1.184,0.0042772
1493,1,1.7697,5.995,1.1908,0.1054
1493,2,0.40275,0.016857,1.271,0.50824
1493,3,0.36458,4.3511,3.0599,2.1324
1493,4,0.31166,0.032908,1.3226,1.1757
1493,5,0.1369,2.2747,3.0631,2.7021
1493,6,0.28585,2.7103,3.0688,3.4605
1493,7,0.46441,3.7209,3.0863,0.0017155
1493,8,0.43275,0.0098226,1.3605,1.8286
1493,9,0.33104,0.040903,3.088,0.97005
